epoch,loss
1,0.02517333958377459
2,0.0007904098336223394
3,0.00024035224453827433
4,0.0001435487427924678
5,8.870446660116245e-05
6,7.05817326054156e-05
7,5.834061249439022e-05
8,5.614833899276783e-05
9,5.252005713363674e-05
10,5.1736197440659485e-05
11,4.641422040302148e-05
12,4.1502498734451385e-05
13,3.7193364293703304e-05
14,3.659137146927964e-05
15,3.31174043756933e-05
16,3.110234282968977e-05
17,3.068366259982514e-05
18,2.94117650923416e-05
19,2.8702931211618084e-05
20,2.9303478080240076e-05
21,2.6974720723660948e-05
22,2.6491378560551756e-05
23,2.4947702304036297e-05
24,2.4861525947668445e-05
25,2.3894000761812283e-05
26,2.3819707905812088e-05
27,2.338548713348264e-05
28,2.344906692243642e-05
29,2.364323585964611e-05
30,2.2036034955048486e-05
31,2.3333642486408478e-05
32,2.2358800274476463e-05
33,2.2293479010603008e-05
34,2.0854609488289903e-05
35,2.288466572872744e-05
36,2.052066195652778e-05
37,2.0776865866700295e-05
38,2.0887616516686964e-05
39,2.0051229505024697e-05
40,2.1200944013002185e-05
41,1.917670798887012e-05
