epoch,loss
1,0.02517333958377459
2,0.0007904098336223394
3,0.00024035224453827433
4,0.0001435487427924678
5,8.870446660116245e-05
6,7.05817326054156e-05
7,5.834061249439022e-05
8,5.614833899276783e-05
9,5.252005713363674e-05
10,5.1736197440659485e-05
11,4.641422040302148e-05
12,4.1502498734451385e-05
13,3.7193364293703304e-05
14,3.659137146927964e-05
15,3.31174043756933e-05
16,3.110234282968977e-05
17,3.068366259982514e-05
18,2.94117650923416e-05
19,2.8702931211618084e-05
20,2.9303478080240076e-05
21,2.6974720723660948e-05
22,2.6491378560551756e-05
23,2.4947702304036297e-05
24,2.4861525947668445e-05
25,2.3894000761812283e-05
26,2.3819707905812088e-05
27,2.338548713348264e-05
28,2.344906692243642e-05
29,2.364323585964611e-05
30,2.2036034955048486e-05
31,2.3333642486408478e-05
32,2.2358800274476463e-05
33,2.2293479010603008e-05
34,2.0854609488289903e-05
35,2.288466572872744e-05
36,2.052066195652778e-05
37,2.0776865866700295e-05
38,2.0887616516686964e-05
39,2.0051229505024697e-05
40,2.1200944013002185e-05
41,1.917670798887012e-05
42,2.0185189054561547e-05
43,1.8201205415527257e-05
44,1.9959767321824447e-05
45,1.957784554119098e-05
46,1.9692103222341062e-05
47,1.9297187585569187e-05
48,1.9282542089128834e-05
49,1.857464956364037e-05
50,1.934925077710694e-05
51,1.8103976031384542e-05
52,1.7932469424093605e-05
53,1.8322728572900173e-05
54,1.6866598123981124e-05
55,1.909985643601694e-05
56,1.684048138761903e-05
57,1.7788084827955803e-05
58,1.830509920670013e-05
59,1.715761020547672e-05
60,1.6466495413707702e-05
61,1.6694060054287155e-05
62,1.690153640522457e-05
63,1.762566306250537e-05
64,1.735237864073524e-05
65,1.6880367863969278e-05
66,1.6269739254458077e-05
67,1.5921412721141235e-05
68,1.5928592033043575e-05
69,1.6041750687121288e-05
70,1.6487284127251474e-05
71,1.6721413614048882e-05
72,1.5306396717068625e-05
73,1.6590064939803354e-05
74,1.626081866607224e-05
75,1.5033894379333675e-05
76,1.6638356615902545e-05
77,1.5730378458103472e-05
78,1.5395870328438317e-05
79,1.677468979348453e-05
80,1.6001980610492704e-05
81,1.628291999881968e-05
82,1.5452413169096877e-05
83,1.476342907386478e-05
84,1.4875906874309437e-05
85,1.5043755434437558e-05
86,1.5213019549221127e-05
87,1.4748217427248447e-05
88,1.5053458777292787e-05
89,1.381207911881139e-05
90,1.3818083245785811e-05
91,1.4922616187332926e-05
92,1.4650721663863608e-05
93,1.4242397429442917e-05
94,1.4261910743317636e-05
95,1.3935903038220805e-05
96,1.3301060269063412e-05
97,1.3368484484774068e-05
98,1.3671424909166575e-05
99,1.3693456125899603e-05
100,1.4142183783992449e-05
101,1.3220681021489056e-05
102,1.28363933791349e-05
103,1.3344713494656999e-05
104,1.3807951752150168e-05
105,1.368778489602858e-05
106,1.3252247721429837e-05
107,1.301528954696698e-05
108,1.2787340049833713e-05
109,1.3606608658438735e-05
